,age,height,weight,overall_rating,potential,total_attack,total_skill,total_movement,total_power,total_mentality,total_defending,total_goalkeeping,player_fifa_api_id,player_name
3278,30.0,182.88,176,65.0,67.0,245.0,264.0,319.0,295.0,362.0,197.0,141.0,152769,Adriano
3273,24.0,172.72,161,78.0,86.0,338.0,380.0,384.0,372.0,346.0,179.0,147.0,164082,Adriano
3274,23.0,172.72,161,78.0,86.0,338.0,380.0,384.0,372.0,346.0,179.0,147.0,164082,Adriano
3275,22.0,172.72,161,79.0,86.0,338.0,380.0,384.0,380.0,361.0,184.0,147.0,164082,Adriano
3276,22.0,172.72,161,79.0,86.0,338.0,381.0,384.0,380.0,361.0,224.0,114.0,164082,Adriano
3277,30.0,182.88,176,67.0,72.0,250.0,288.0,317.0,299.0,307.0,206.0,58.0,152769,Adriano
3279,29.0,182.88,176,66.0,69.0,260.0,288.0,322.0,293.0,366.0,200.0,141.0,152769,Adriano
3280,28.0,182.88,176,63.0,64.0,221.0,265.0,322.0,293.0,344.0,191.0,129.0,152769,Adriano
3281,27.0,182.88,176,62.0,62.0,221.0,265.0,322.0,293.0,329.0,190.0,129.0,152769,Adriano
3282,27.0,182.88,176,70.0,72.0,219.0,244.0,324.0,321.0,344.0,209.0,82.0,152769,Adriano
3261,28.0,172.72,161,77.0,79.0,335.0,393.0,393.0,392.0,357.0,227.0,62.0,164082,Adriano
3272,24.0,172.72,161,78.0,86.0,338.0,380.0,384.0,372.0,346.0,189.0,147.0,164082,Adriano
3260,29.0,172.72,161,77.0,77.0,335.0,393.0,393.0,392.0,357.0,227.0,62.0,164082,Adriano
3254,30.0,172.72,161,79.0,79.0,338.0,394.0,392.0,390.0,362.0,237.0,67.0,164082,Adriano
3258,29.0,172.72,161,77.0,77.0,335.0,393.0,393.0,392.0,357.0,227.0,62.0,164082,Adriano
3237,32.0,187.96,194,73.0,73.0,338.0,341.0,210.0,316.0,293.0,75.0,56.0,106019,Adriano
3238,31.0,187.96,194,73.0,73.0,338.0,341.0,202.0,315.0,293.0,75.0,56.0,106019,Adriano
3240,30.0,187.96,194,73.0,73.0,337.0,340.0,240.0,326.0,297.0,75.0,56.0,106019,Adriano
3241,29.0,187.96,194,77.0,77.0,337.0,340.0,272.0,326.0,297.0,75.0,56.0,106019,Adriano
3242,29.0,187.96,194,77.0,86.0,337.0,344.0,357.0,382.0,293.0,75.0,56.0,106019,Adriano
3243,28.0,187.96,194,79.0,88.0,362.0,336.0,359.0,402.0,323.0,75.0,56.0,106019,Adriano
3244,28.0,187.96,194,83.0,87.0,381.0,350.0,371.0,416.0,360.0,60.0,118.0,106019,Adriano
3245,27.0,187.96,194,80.0,90.0,362.0,353.0,368.0,413.0,347.0,60.0,118.0,106019,Adriano
3246,26.0,187.96,194,80.0,90.0,357.0,362.0,375.0,410.0,370.0,60.0,118.0,106019,Adriano
3247,26.0,187.96,194,86.0,90.0,365.0,376.0,395.0,421.0,412.0,60.0,118.0,106019,Adriano
3239,30.0,187.96,194,73.0,73.0,338.0,341.0,202.0,315.0,293.0,75.0,56.0,106019,Adriano
3249,25.0,187.96,194,89.0,91.0,373.0,377.0,403.0,425.0,412.0,50.0,83.0,106019,Adriano
3248,25.0,187.96,194,86.0,90.0,365.0,376.0,395.0,421.0,412.0,60.0,118.0,106019,Adriano
3257,29.0,172.72,161,76.0,76.0,337.0,386.0,393.0,388.0,355.0,224.0,62.0,164082,Adriano
3256,29.0,172.72,161,76.0,76.0,337.0,386.0,393.0,388.0,355.0,224.0,62.0,164082,Adriano
3255,30.0,172.72,161,76.0,76.0,337.0,386.0,393.0,388.0,355.0,224.0,62.0,164082,Adriano
