,age,height,weight,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
aggression,0.33715247036341545,0.30960748841715285,0.3075210582361499,0.3121751121576708,0.11965760244216671,-0.04384088382772078,-0.3398383196674136,0.4355337945023064,0.12324584303512962,-0.2620279048982767,-0.27960451298009226,-0.18390226965966766,-0.1043862919823909,0.21210405149670547,-0.10570857817427934,-0.23595613058112294,-0.17679835286801254,-0.2879412093063057,0.264064097103582,-0.2089919870923951,0.11051087923505717,0.29797144423711736,0.3461782095540573,0.5752066204714107,-0.12947706253254074,1.0,0.6537402391882776,-0.2161379338179994,-0.10438408992544818,-0.156664871801683,0.6671130403532242,0.6806837445901339,0.6671626653096903,0.04969311418066685,-0.03332942553593947,-0.007987372388328653,-0.05067365674301624,-0.01821092805833362
interceptions,0.22848104970664987,0.21580892050255956,0.19795765075226587,0.272819000815905,0.16549503977969185,0.033526894402541765,-0.46801793017487475,0.3081462104150251,0.2033933306924935,-0.3631140750767226,-0.2876450012168646,-0.172053854779238,-0.08898010554365897,0.32703949042329206,-0.11515813547854015,-0.19434648392583545,-0.16861963840629515,-0.24192299419026098,0.22024809530107445,-0.13317459202284965,-0.05236676842714859,0.244361955767852,0.3476644697325841,0.3966718368919434,-0.18078928374053632,0.6537402391882776,1.0,-0.33006103286593264,-0.05070507792830961,-0.23748265359910226,0.8339242747924698,0.8461797131629563,0.8239357423370283,-0.002585582270632129,0.14060845392965934,0.2396792109283718,0.11827053625018337,0.193418871053604
positioning,0.07187031059692854,-0.3535313263740926,-0.2983420874631377,0.3837101268473895,0.3631938562662349,0.5635289129703839,0.760389127213156,-0.1262136960050107,0.4841201490446018,0.7035673517642995,0.7290767086821719,0.6409570915121865,0.559281650744393,0.322660729237511,0.7122443734865692,0.5252634739599451,0.4927309791689137,0.5639329269216211,0.43487316604970794,0.41195110997528345,0.5276119126518835,-0.021230222537899114,0.2507329651583945,-0.23642203447163584,0.6755525507101611,-0.2161379338179994,-0.33006103286593264,1.0,0.6809305441644937,0.6659846091794592,-0.4584643029673164,-0.42095879313305234,-0.43274263697472337,-0.010637783849360651,0.0842561971856352,0.20571221902884765,0.13388819355153928,0.08034453342223813
vision,0.16837820553334576,-0.3443670548691461,-0.2912669297263307,0.5060706525563192,0.4640496532655791,0.630987660034376,0.5896193438638211,-0.13624406370296063,0.7221983708065525,0.5950485550747155,0.6644216273669395,0.6771480969179995,0.658417980850051,0.6332550151674577,0.7424632255366792,0.3876150310857791,0.3082093680671462,0.5280897099174644,0.4940264028291596,0.448629521732805,0.4490324819938458,-0.057535224543996226,0.21637671362758404,-0.21698883144457112,0.663602152024415,-0.10438408992544818,-0.05070507792830961,0.6809305441644937,1.0,0.5960804422360498,-0.21500828256933383,-0.1679240892031583,-0.19301905878607942,-0.0034603482567174197,0.10994294021127587,0.21517658458397568,0.15551159176665547,0.12576110572381416
penalties,0.1938997987592717,-0.22551987647887925,-0.11888269268856859,0.45234844938982155,0.3819851749454492,0.4143181936892514,0.6755919199453554,0.03272667544427981,0.4860418000780878,0.6697162658998861,0.5659151632858151,0.5465654900961632,0.5959223485229292,0.3524327299439079,0.6088656304116326,0.28043401385220185,0.22744193141897426,0.346853539078615,0.3848545660411544,0.27723412689242655,0.5239321837787257,-0.04853129899734519,0.055383640908506296,-0.09005826109359691,0.6197831651828031,-0.156664871801683,-0.23748265359910226,0.6659846091794592,0.5960804422360498,1.0,-0.3664033271651876,-0.3339781457066984,-0.3569498006580008,-0.01963689797959612,0.10933763952987668,0.20732685282089203,0.15281469949374543,0.0986815421798664
marking,0.1809327465673824,0.26981974396008696,0.23642281902344528,0.1299296773137231,0.03285357496560162,-0.10915055651048657,-0.639587524750883,0.30409177455112313,0.057161564823100884,-0.541046847833961,-0.46054961759030855,-0.3354243065729486,-0.2352803777280134,0.21645114099362842,-0.28855796840307874,-0.2959648310413995,-0.2594320021766678,-0.35009862628425376,0.07033008007397153,-0.18128079418986132,-0.17088958851248176,0.2261595273124977,0.2738555280553434,0.4034674652932295,-0.3502270047892206,0.6671130403532242,0.8339242747924698,-0.4584643029673164,-0.21500828256933383,-0.3664033271651876,1.0,0.9531630727033488,0.9479105687688241,0.03271331912875102,0.0324636378094787,0.06362752046870827,0.0004854158549812179,0.0795843379167531
standing_tackle,0.19446212746480235,0.25993236853332025,0.2182809758005951,0.17083483670099045,0.07300980816566348,-0.06758065663943397,-0.6098934659494141,0.2940335279893962,0.11133222543717297,-0.5037048523472093,-0.41154190362350734,-0.2791871028831675,-0.1912068644121418,0.26198750040651003,-0.2296103472219239,-0.2835339638022377,-0.2403358165491714,-0.332569762719679,0.10402394498662344,-0.17449532573994397,-0.13021652085127167,0.22663657818095073,0.30335227646577373,0.4084943568461835,-0.30683988321167105,0.6806837445901339,0.8461797131629563,-0.42095879313305234,-0.1679240892031583,-0.3339781457066984,0.9531630727033488,1.0,0.9562819197077521,0.04188257465439333,-0.010282462232577937,0.028529327241376808,-0.02769967746326408,0.05868968731380001
sliding_tackle,0.16311413199277014,0.2275927067620085,0.1905047061030364,0.13328115487168923,0.05140577489973021,-0.06695406341874854,-0.6360795541384039,0.2627768603225476,0.07562193034429188,-0.5190321020504386,-0.4203995577630198,-0.29176783839140785,-0.22059002261348581,0.23224990705260043,-0.25071300856469014,-0.2591129138130041,-0.21863184764245916,-0.30472797696685594,0.08343703804585098,-0.14385456005778044,-0.16211402923913282,0.2473952912062598,0.3024308952811348,0.37415427017470987,-0.3362880787776038,0.6671626653096903,0.8239357423370283,-0.43274263697472337,-0.19301905878607942,-0.3569498006580008,0.9479105687688241,0.9562819197077521,1.0,0.04413656783881828,0.004734289772012266,0.03271161221693708,-0.022083059339066156,0.061054601620767375
gk_diving,-0.02924380993552521,0.012433306600340402,0.013986115246929704,0.07172502335999971,0.08553238756152784,0.05207868932827017,0.009128047794424013,0.016218501847648538,0.08182805638429262,-0.027532826955999345,0.05775275838661559,0.028891686957132835,0.024071398357731758,0.10281011410994657,0.058245012147072166,0.019608054496636905,0.032886236779297605,0.009225049060645368,0.016569847374305238,-0.006743761089954396,0.09203153642860776,-0.029996294312238422,-0.0007005452140979485,0.00962576684817136,0.041951678659539283,0.04969311418066685,-0.002585582270632129,-0.010637783849360651,-0.0034603482567174197,-0.01963689797959612,0.03271331912875102,0.04188257465439333,0.04413656783881828,1.0,-0.1551754855608768,-0.2072166068413911,-0.13777011237424183,-0.13832434276300046
gk_handling,-0.10649448105273944,0.02749604772458859,0.046308447982069754,0.005948200059179973,0.09305206332311113,-0.004192671444899048,0.011322076558207142,-0.004516903292269801,-0.022621298320327266,0.02807601943101711,-0.04726664034760261,-0.003304722521609553,0.015789622334453964,-0.01683395533211792,-0.04383753766596059,0.04099158162017021,0.03598861051924381,0.036302892428798104,0.02569659563200672,0.062044312132921345,-0.07822705313058542,0.010268740993614833,0.045257009203202525,0.017004355965395464,-0.014914902049683834,-0.03332942553593947,0.14060845392965934,0.0842561971856352,0.10994294021127587,0.10933763952987668,0.0324636378094787,-0.010282462232577937,0.004734289772012266,-0.1551754855608768,1.0,0.6842854487021172,0.6640281101251474,0.6548424494817756
gk_kicking,-0.08666120218930796,0.00664508442351099,0.027727236597298158,0.07438218643464452,0.16961264655564562,0.05741916807756268,0.06673288519990205,0.05038419710008246,0.0749918243264034,0.10501288594743913,0.007379152444329565,0.048495412205540996,0.1052970110612185,0.0751201196001054,0.036855077106537196,0.09357097750577843,0.08498129898932778,0.062401146431316674,0.09676466874151425,0.08918567328928084,-0.02720683057822682,0.052300731255276414,0.11530747139026777,0.03342080889612754,0.04470141622158623,-0.007987372388328653,0.2396792109283718,0.20571221902884765,0.21517658458397568,0.20732685282089203,0.06362752046870827,0.028529327241376808,0.03271161221693708,-0.2072166068413911,0.6842854487021172,1.0,0.6922329810784142,0.6923846856806569
gk_positioning,-0.1130885635041137,-0.005618402763298241,-0.013029049926336512,-0.008838946813712405,0.09765786698011124,0.011899617802919529,0.048264633606182224,0.004398748872657736,-0.011732524612659124,0.07907710721312525,0.003318851406556724,0.030203329877114445,0.07533631891774893,-0.017101546128308946,-0.010881007600821807,0.07953953414389749,0.07010256138324554,0.07788677920196023,0.0392378940472462,0.09464432836007923,-0.04775551680970704,0.03622583510900087,0.052073087289113085,-0.04273839976282213,0.03495700930054869,-0.05067365674301624,0.11827053625018337,0.13388819355153928,0.15551159176665547,0.15281469949374543,0.0004854158549812179,-0.02769967746326408,-0.022083059339066156,-0.13777011237424183,0.6640281101251474,0.6922329810784142,1.0,0.6610455820250273
gk_reflexes,-0.07411655728066506,0.013888933721727439,0.014557183978883429,0.025401149469867573,0.11135394157006653,-0.009860308545725947,-0.016526836321190955,0.04710965917550042,0.016893152200555858,0.02172762692733015,-0.04338590883152495,-0.01650527676904609,0.009025016932560843,0.000440525859582774,-0.0162296126456161,0.04921821751445585,0.04339523784622219,0.030081837191563134,0.056085174446216,0.070188015416547,-0.09720549120303096,0.026690180655873315,0.039116343999535536,-0.01068337565935417,-0.040006719867501275,-0.01821092805833362,0.193418871053604,0.08034453342223813,0.12576110572381416,0.0986815421798664,0.0795843379167531,0.05868968731380001,0.061054601620767375,-0.13832434276300046,0.6548424494817756,0.6923846856806569,0.6610455820250273,1.0
